,股票代码,p-value,时间长度,adf统计量,置信
58,T,0.17307264445892806,3997,-2.2965822159265556,"{'1%': -3.431998660700255, '5%': -2.862268488110152, '10%': -2.567157782246144}"
59,ADSK,0.11529676157534774,3997,-2.5007301947139657,"{'1%': -3.4319875139327345, '5%': -2.862263564080849, '10%': -2.567155160899137}"
60,ADP,0.853703841060909,3997,-0.6726634381624411,"{'1%': -3.4319949282875872, '5%': -2.8622668393374067, '10%': -2.567156904508229}"
61,AZO,1.0,3997,3.459495090318356,"{'1%': -3.4319999086046633, '5%': -2.8622690393645924, '10%': -2.5671580757111188}"
62,AVB,0.9235617253760378,3997,-0.3135601920200591,"{'1%': -3.4319961705459843, '5%': -2.862267388098443, '10%': -2.5671571966457023}"
63,AVY,0.15881396777497447,3997,-2.3418874605762823,"{'1%': -3.431987924087406, '5%': -2.862263745264969, '10%': -2.56715525735392}"
64,BHGE,,0,,
65,BLL,0.005251022150980121,3997,-3.6278135363441035,"{'1%': -3.4319875139327345, '5%': -2.862263564080849, '10%': -2.567155160899137}"
66,BAC,0.6082731332000546,3997,-1.3451465660965773,"{'1%': -3.4319875139327345, '5%': -2.862263564080849, '10%': -2.567155160899137}"
67,BK,0.37130909896421094,3997,-1.8185148445459585,"{'1%': -3.431998245151502, '5%': -2.8622683045438806, '10%': -2.567157684523092}"
68,BAX,0.1579389349320035,3997,-2.344756632572834,"{'1%': -3.431988334447595, '5%': -2.8622639265398497, '10%': -2.567155353857025}"
69,BBT,0.08900268505465092,3997,-2.6196547688726826,"{'1%': -3.431998245151502, '5%': -2.8622683045438806, '10%': -2.567157684523092}"
70,BDX,0.992894144776888,3997,0.8852025378841347,"{'1%': -3.4319936879026813, '5%': -2.862266291403747, '10%': -2.5671566128112553}"
71,BRK.B,,117,,
72,BBY,0.0019605623554985606,3996,-3.910268574682735,"{'1%': -3.432000741590981, '5%': -2.862269407331276, '10%': -2.567158271601324}"
73,BIIB,0.8922032581717138,3996,-0.4990422574198012,"{'1%': -3.431999492426677, '5%': -2.862268855520438, '10%': -2.5671579778401203}"
